[HH],-0.01,0,-0.01
[H],52.1,0,52.1
[C],171.34,0.01,171.34
[CH],142.48,0.03,142.48
[CH2],93.58,0.03,93.58
[CH3],34.98,0.02,34.98
C,-17.81,0.01,-17.81
[C]=[C],198.0592734,0.064531549,198.0592734
[C]#C,135.75,0.04,135.75
C#C,54.56,0.03,54.56
[C]=C,98.51816444,0.078871893,98.51816444
[C]C,120.6692161,0.20793499,120.6692161
[CH]=C,70.96,0.08,70.96
C=C,12.54,0.03,12.54
[CH]C,84.71558317,0.195984704,84.71558317
[CH2]C,28.65,0.07,28.65
CC,-20.05,0.03,-20.05
[C]=C=[C],196.8164436,0.129063098,196.8164436
[C]=C=[CH],172.6338432,0.193594646,172.6338432
[CH]=C=[CH],130.5879541,0.150573614,130.5879541
[C]=C=C,132.7891969,0.100382409,132.7891969
C1=C=C1,118.5755258,0.112332696,118.5755258
[CH2]C#C,84,0.09,84
CC#[C],125.87,0.19,125.87
C1=[C]C1,125.13,0.19,125.13
[CH]1C=C1,116.26,0.18,116.26
C=C=C,45.38,0.06,45.38
CC#C,44.39,0.06,44.39
C1C=C1,67.83,0.13,67.83
[CH2]C=C,40.11,0.13,40.11
C[C]=C,60.36,0.17,60.36
[CH]=CC,64.34,0.19,64.34
[CH]1CC1,69.36,0.38,69.36
CC=C,4.78,0.05,4.78
C1CC1,12.82,0.11,12.82
[CH2]CC,24.09,0.15,24.09
C[CH]C,21.2,0.16,21.2
CCC,-25.1,0.05,-25.1
C#CC#C,110.0143403,0.205544933,110.0143403
C#CCC,39.62,0.16,39.62
CC#CC,34.89,0.14,34.89
C=CC=C,26.43,0.1,26.43
C1CC=C1,38.18,0.22,38.18
CCC=C,-0.02,0.09,-0.02
C/C=C\C,-1.75,0.1,-1.75
C/C=C/C,-2.7,0.1,-2.7
CC(C)=C,-4.1,0.11,-4.1
C1CCC1,6.6,0.11,6.6
CC1CC1,5.81,0.31,5.81
[CH2]CCC,18.7,0.23,18.7
CCCC,-30.1,0.06,-30.1
CC(C)C,-32.21,0.08,-32.21
C1C=CC=C1,31.73,0.18,31.73
C1CC=CC1,8.09,0.11,8.09
C1CCCC1,-18.54,0.11,-18.54
CCCCC,-34.98,0.07,-34.98
CCC(C)C,-36.63,0.11,-36.63
C1[C]=CC=C1,80.56,0.14,80.56
C1=CC=CC=C1,19.86,0.06,19.86
C=CCCC=C,20.03,0.1,20.03
C1CCCCC1,-29.43,0.09,-29.43
CCCCCC,-39.9,0.08,-39.9
CC1=CC=CC=C1,12.01,0.09,12.01
C1=CC1CC2C=C2,50.79,0.29,50.79
CCCCCCCC,-49.78,0.16,-49.78
CC(C)CC(C)(C)C,-53.47,0.36,-53.47
