SMILES,Expt'l data,All rxns,Isogyric,Isodesmic,Hypohomodesmotic,Homodesmotic,Hyperhomodesmotic
C,-17.81070746,-17.98137234,-18.2153796,-18.20804455,0,0,0
C#C,54.56022945,54.6829344,55.1104749,54.88080447,55.03092098,55.74581263,0
C#CC#C,110.0143403,110.6485433,110.7022454,110.5706183,110.7295146,0,111.2422371
C#CCC,39.61998088,40.09953659,40.166687,40.17799464,40.29102102,40.01813882,40.38391831
C(C)=CCC,-9.92,-10.30386923,-10.39790595,-10.28719885,-10.23908966,-10.60433983,-10.5760717
C(C)C#C,32.6,33.73055822,33.70848225,33.74781643,33.87200924,33.52880902,33.99853076
C/C=C/C,-2.700764818,-2.462321813,-2.55899314,-2.412380902,-2.253598436,-2.29984174,-2.682067768
C1=CC#CC=C1,105.95,110.3383124,109.9010712,0,0,0,0
C1=CC1CC2C=C2,50.78871893,56.48367047,57.36274011,55.86441784,55.79798598,0,0
C1=CC=CC=C1,19.86376673,20.30308395,19.13029037,20.33017827,19.93068725,19.79214723,0
C1=CC=[C]C=C1,81.24,82.30034551,81.41213867,82.29281551,82.27287435,82.63215346,82.42404672
C1=[C]C1,125.126673,124.7804753,125.0788573,124.4843736,124.2839371,124.1212641,123.1476227
C1C=C1,67.83460803,67.5623919,68.03651811,67.53567218,67.68377321,67.69826985,67.52829126
C1C=CC=C1,31.73040153,32.16589996,32.57274874,32.00339836,31.93382188,32.159607,32.22586871
C1C=CCC=C1,25.02,25.50651578,25.96799024,25.28980574,25.22610328,25.75937667,25.79788146
C1CC1,12.82265774,12.62200754,12.97807237,12.54107159,12.38548427,12.39976354,12.41137154
C1CC=C1,38.17877629,38.81835581,38.99229695,38.59223909,38.67916309,38.69254462,38.68833199
C1CC=CC1,8.090344168,8.645662454,8.665735729,8.319396781,8.343667117,8.346208065,8.406260675
C1CC=CC=C1,25.41,25.19641854,25.80108428,25.06960719,25.0228197,24.72992356,24.7822849
C1CCC1,6.603728489,7.581349385,7.630021869,7.318473775,7.320012741,7.292691635,7.382383461
C1CCC=CC1,-1.03,-1.706964018,-1.308501837,-1.728100462,-1.926607838,-2.020421989,-2.077643838
C1CCCC1,-18.54206501,-18.02377464,-18.06994045,-18.35125729,-18.47756182,-18.49229748,-18.37784144
C1CCCCC1,-29.43355641,-29.23095241,-29.33977061,-29.58167677,-29.76300951,-29.92932766,-30.10935393
C1[C]=CC=C1,80.56405354,82.5162951,82.82716108,82.27615414,82.13668917,82.21842254,82.54310385
C=C,12.53585086,12.15036541,12.40909462,12.40879068,12.1025639,12.30030152,0
C=C=C,45.37762906,44.99922856,45.23572337,45.19830864,45.35275897,45.76094407,44.86456978
C=CC#C,70.79,69.48166058,69.38476984,69.31059602,69.29372646,70.24250883,69.45253834
C=CC1=CC=CC=C1,35.32,35.99344575,34.75772669,35.74673092,35.69261443,35.15863144,36.00376574
C=CC=C,26.42686424,26.99078171,26.91467512,26.99082364,27.02704345,26.81095884,26.78491942
C=CCC=C,25.41,25.11235508,25.22479509,25.23920403,24.78846086,24.66882023,24.41351543
C=CCCC=C,20.02629063,21.23931893,20.96164893,21.0642012,20.83653922,20.93798409,21.04454037
CC,-20.05497132,-20.5051021,-20.47977076,-20.44620654,-20.47458546,-20.45484492,0
CC#C,44.39292543,44.22494415,44.49294801,44.24022037,44.1139197,43.99515367,44.59110253
CC#CC,34.89483748,35.18576465,35.21192709,35.20987864,35.01080634,34.26003823,34.46999664
CC#[C],125.8699809,126.5929308,126.7554184,126.6482902,126.6306415,126.7801721,126.2948217
CC(=C(C)C)C,16.8,18.31115824,17.74695399,17.97092003,18.91345389,17.95342257,18.68641488
CC(=C)C#C,61.9,60.96875772,60.79542211,60.87266022,60.92971064,62.44749117,61.27051983
CC(=C)C1=CC=CC=C1,28.27,27.69587985,27.1089605,27.7932354,27.87716171,27.54549117,28.52668778
CC(=C=C)C,30.85,30.27486174,30.27145024,30.26676792,30.56835658,30.5736184,30.17288077
CC(C)(C)C,-40.32,-40.59184961,-41.05410108,-40.9921296,-40.89410575,-40.9447948,-40.75055735
CC(C)(C)C#C,25.57,25.7517177,25.09258874,25.16419358,25.50128438,25.27901687,26.19042183
CC(C)(C)C(C)(C)C,-53.99,-55.32719436,-55.88204781,-55.60680745,-55.51811967,-55.38379372,-54.66997118
CC(C)(C)C1=CC=CC=C1,0.93,0.394690704,-0.51236406,0.132798411,0.262734734,0.231760831,0.325331487
CC(C)(C)C=C,-14.29,-14.26803109,-15.04826633,-14.8658049,-14.55910163,-14.33981958,-13.69490108
CC(C)(C)[CH2],8.91,10.41813554,9.556311804,9.642065413,9.894587328,9.928919626,10.0303273
CC(C)=C,-4.098948375,-3.893390636,-3.969242446,-3.820719966,-3.743614186,-3.562131119,-3.349499158
CC(C)C,-32.21319312,-31.84631261,-32.32884821,-32.22876242,-32.00330203,-31.89636258,-31.85898498
CC(C)C(C)C,-42.49,-42.7237732,-43.28855851,-43.18344156,-42.72463011,-42.60415446,-42.11006884
CC(C)C1=CC=CC=C1,0.93,0.487475527,-0.339106233,0.420683807,0.563377437,0.730648164,0.470232314
CC(C)C=C,-6.55,-6.942442121,-7.304936799,-7.199216102,-7.150185546,-6.701833703,-7.20657574
CC1=CC=CC=C1,11.9978,12.25529771,11.0066235,11.94872677,11.82216288,12.17666916,11.61990917
CC1CC1,5.807839388,5.876960616,5.940825327,5.560092885,5.566301362,5.836971818,5.76457059
CC1CCCCC1,-36.9972,-37.9847345,-37.79308888,-37.99140127,-37.92027651,-37.83631625,-37.96391969
CC=C,4.777724665,4.691011519,4.793435952,4.877837867,4.852733846,4.899002402,4.470691683
CC=C=C,38.81,38.49672393,38.45428156,38.47622861,38.89896512,38.7349662,0
CC=CC=C,18.21,18.79773406,18.62159056,18.66748735,18.72940995,18.35772476,18.66237572
CCC,-25.10277247,-25.4967221,-25.36416786,-25.3218886,-25.40020061,-25.4769739,-25.7514439
CCC(C)C,-36.63240918,-36.55250251,-36.720388,-36.65371719,-36.61891643,-36.63513336,-36.23661255
CCC1=CC=CC=C1,7.12,6.947523499,5.819447776,6.751617269,6.415811818,6.358309002,5.261781569
CCC=C,-0.019120459,0.370999465,0.243503949,0.394165079,0.32569731,0.243556865,0.237291805
CCCC,-30.10038241,-29.94733554,-30.06162388,-29.9580111,-30.0703549,-30.15610786,-30.21420077
CCCCC,-34.97609943,-34.90979989,-34.76470532,-34.69778342,-34.93306676,-35.05951075,-35.08016252
CCCCCC,-39.89722753,-39.38220994,-39.43478562,-39.29804368,-39.52490781,-39.64693644,-39.57364333
C[CH]CC,16.491,15.85234342,15.90591893,15.8828652,15.91311451,15.98287013,16.25546845
C[C](C)C,12.31,11.80993811,12.02829474,12.00775087,12.00218409,11.98367444,12.19591876
C[C](C)CC,6.7,7.965159964,7.598536952,7.687080502,7.894166301,7.929848837,7.45544334
C[C]=C,60.36328872,60.04254185,59.99630181,60.01155847,59.9507979,60.05364173,60.11727755
[CH2],93.57552581,93.87277194,94.18356184,93.90145577,93.65588418,93.76052481,93.74359464
[CH2](C)CC,16.73,17.37022923,17.35887069,17.46347145,17.34264308,17.21202596,17.19445315
[CH2]C#C,83.99617591,83.44253351,83.59632978,83.3893176,83.24687137,82.96529416,82.81598763
[CH2]C1=CC=CC=C1,49.47,50.35550991,49.4615219,50.23841058,50.04265838,50.78705533,50.34359449
[CH2]C=C,40.11472275,39.72359012,39.67140883,39.68696393,39.48294795,39.44578791,39.64077757
[CH2]CC,24.09416826,23.84612322,24.08259625,24.06114951,23.86916749,23.80205279,23.95753801
[CH2]CCC,18.70219885,19.0850805,19.17864763,19.14662822,19.1118804,18.99759726,19.22314813
