0,1,2,3,4,5,6,7,8
C1CCC=CC1,-1.03,1.74,1.74,1.7399999999999993,1.74,1.7399999999999995,1.7400000000000004,1.74
CC(=C)C#C,61.9,63.34,63.34000000000002,63.34000000000002,63.34000000000003,63.34000000000001,0,0
CC(C)(C)C1=CC=CC=C1,0.93,3.44,1.1678000000000002,2.6526039603960396,2.051433333333333,1.1678000000000002,1.1678000000000002,0
CCC1=CC=CC=C1,7.12,9.42,7.147799999999999,8.853596521739131,8.109115384615386,7.147800000000002,7.147800000000002,0
CC(C)(C)C,-40.32,-38.38,-38.38,-38.38,-38.38,-38.38,-38.38,0
CC=CC=C,18.21,21.18,21.180000000000003,21.180000000000003,21.180000000000007,21.18,21.18,21.18
C1C=CCC=C1,25.02,28.87,28.869999999999994,28.87,28.869999999999997,28.87,28.869999999999997,28.87
CC(=C=C)C,30.85,32.86,32.86000000000001,32.86000000000001,32.860000000000014,32.86,32.86,0
[CH2](C)CC,16.73,19.48,19.48,19.479999999999997,19.479999999999997,19.48,19.480000000000004,19.480000000000004
CC(C)(C)[CH2],8.91,12.28,12.28,12.280000000000001,12.279999999999998,12.28,12.28,0
[CH2]C1=CC=CC=C1,49.47,52.77,51.938707317073174,52.77,51.530618181818184,50.497800000000005,50.497800000000005,0
CC(=C(C)C)C,16.8,20.77,20.770000000000003,20.77,20.770000000000003,20.77,0,0
C(C)=CCC,-9.92,-7.74,-7.740000000000001,-7.739999999999998,-7.74,-7.740000000000001,-7.740000000000001,-7.74
CC1CCCCC1,-36.9972,-34.22,-34.22,-34.220000000000006,-34.220000000000006,-34.22,-34.22,-34.22
C[C](C)CC,6.7,10.3,10.3,10.299999999999997,0,0,0,0
C(C)C#C,32.6,35.75,35.75,35.75,35.75,35.75,35.75,35.75
CC=C=C,38.81,40.53,40.529999999999994,40.52999999999999,40.53,40.529999999999994,40.53,0
CC(C)C1=CC=CC=C1,0.93,3.35,1.0778000000000003,2.671570616113745,1.8352000000000004,1.6458500000000003,1.0778000000000003,0
CC(C)(C)C#C,25.57,28.15,28.15,28.149999999999995,28.150000000000006,28.150000000000002,28.15,0
C[C](C)C,12.31,14.36,14.36,14.360000000000005,0,0,0,0
CC(C)(C)C=C,-14.29,-11.95,-11.950000000000001,-11.95,-11.950000000000001,-11.950000000000001,-11.95,0
C[CH]CC,16.491,18.26,18.259999999999998,18.259999999999998,18.26,18.259999999999998,18.259999999999998,0
C=CCC=C,25.41,27.8,27.800000000000004,27.800000000000008,27.800000000000004,27.8,27.8,27.8
C=CC1=CC=CC=C1,35.32,38.12,35.8478,37.45882704918033,36.94182222222222,35.8478,35.8478,0
C=CC#C,70.79,71.48,71.47999999999999,71.48,71.48,71.48,0,0
CC(C)C(C)C,-42.49,-40.152,-40.151999999999994,-40.151999999999994,-40.151999999999994,-40.152,-40.152,0
C1=CC=[C]C=C1,81.24,84.41,83.45980727272725,84.40999999999998,0,0,0,0
C1CC=CC=C1,25.41,28.73,28.730000000000004,28.730000000000004,28.730000000000004,28.73,28.73,28.73
CC(C)C=C,-6.55,-4.64,-4.64,-4.640000000000001,-4.639999999999999,-4.639999999999999,-4.64,0
C1=CC#CC=C1,105.95,112.23,110.7152,112.22999999999999,0,0,0,0
CC(=C)C1=CC=CC=C1,28.27,30.76,28.4878,29.958047058823528,29.118966666666665,28.4878,0,0
CC(C)(C)C(C)(C)C,-53.99,-51.77,-51.77,-51.77,-51.769999999999996,-51.77,0,0
CC1=CC=CC=C1,11.9978,14.27,14.269999999999998,14.27,14.269999999999998,14.27,14.27,0
