[HH],-0.01,0,-1.09
[H],52.1,0,52.1
[C],171.34,0.01,171.22
[CH],142.48,0.03,142.48
[CH2],93.58,0.03,94.75
[CH3],34.98,0.02,35.67
C,-17.81,0.01,-17.55
[C]=[C],198.0592734,0.064531549,197.3527
[C]#C,135.75,0.04,137.01
C#C,54.56,0.03,56.13
[C]=C,98.51816444,0.078871893,99.9501
[C]C,120.6692161,0.20793499,121.6585
[CH]=C,70.96,0.08,71.98
C=C,12.54,0.03,13.55
[CH]C,84.71558317,0.195984704,86.1378
[CH2]C,28.65,0.07,29.94
CC,-20.05,0.03,-19.28
[C]=C=[C],196.8164436,0.129063098,198.1966
[C]=C=[CH],172.6338432,0.193594646,174.1532
[CH]=C=[CH],130.5879541,0.150573614,132.0493
[C]=C=C,132.7891969,0.100382409,134.2872
C1=C=C1,118.5755258,0.112332696,120.4165
[CH2]C#C,84,0.09,85.37
CC#[C],125.87,0.19,128.44
C1=[C]C1,125.13,0.19,126.83
[CH]1C=C1,116.26,0.18,118.37
C=C=C,45.38,0.06,46.84
CC#C,44.39,0.06,46.09
C1C=C1,67.83,0.13,69.63
[CH2]C=C,40.11,0.13,41.46
C[C]=C,60.36,0.17,61.78
[CH]=CC,64.34,0.19,66
[CH]1CC1,69.36,0.38,71.72
CC=C,4.78,0.05,6.45
C1CC1,12.82,0.11,14.63
[CH2]CC,24.09,0.15,25.87
C[CH]C,21.2,0.16,22.61
CCC,-25.1,0.05,-23.68
C#CC#C,110.0143403,0.205544933,112.5443
C#CCC,39.62,0.16,42.22
CC#CC,34.89,0.14,37.27
C=CC=C,26.43,0.1,28.97
C1CC=C1,38.18,0.22,41.04
CCC=C,-0.02,0.09,2.38
C/C=C\C,-1.75,0.1,0.75
C/C=C/C,-2.7,0.1,-0.42
CC(C)=C,-4.1,0.11,-1.83
C1CCC1,6.6,0.11,9.75
CC1CC1,5.81,0.31,8.08
[CH2]CCC,18.7,0.23,21.45
CCCC,-30.1,0.06,-27.91
CC(C)C,-32.21,0.08,-30.17
C1C=CC=C1,31.73,0.18,35.02
C1CC=CC1,8.09,0.11,11.22
C1CCCC1,-18.54,0.11,-15.44
CCCCC,-34.98,0.07,-32.14
CCC(C)C,-36.63,0.11,-34.08
C1[C]=CC=C1,80.56,0.14,85.33
C1=CC=CC=C1,19.86,0.06,22.1
C=CCCC=C,20.03,0.1,23.96
C1CCCCC1,-29.43,0.09,-26.28
CCCCCC,-39.9,0.08,-36.38
CC1=CC=CC=C1,12.01,0.09,14.4
C1=CC1CC2C=C2,50.79,0.29,60.35
CCCCCCCC,-49.78,0.16,-45.5
CC(C)CC(C)(C)C,-53.47,0.36,-49.63
