[CH3]	34.98	0.02	44.9909
C	-17.81	0.01	13.3267
[C]#C	135.75	0.04	150.2122
C#C	54.56	0.03	69.0988
[CH]=C	70.96	0.08	78.1993
C=C	12.54	0.03	41.5922
CC	-20.05	0.03	19.1125
C#C[CH2]	84.00	0.09	92.889
[C]#CC	125.87	0.19	153.4799
[C]1=CC1	125.13	0.19	167.9237
C=C=C	45.38	0.06	73.7174
C#CC	44.39	0.06	71.364
C1=CC1	67.83	0.13	103.2431
[CH2]C=C	40.11	0.13	62.4756
C=[C]C	60.36	0.17	78.0748
[CH]1CC1	69.36	0.38	92.3292
C=CC	4.78	0.05	45.7128
C1CC1	12.82	0.11	57.97
[CH2]CC	24.09	0.15	52.5005
CCC	-25.10	0.05	26.4359
C#CCC	39.62	0.16	79.6668
CC#CC	34.89	0.14	73.8573
C=CC=C	26.43	0.10	72.3093
C1=CCC1	38.18	0.22	88.6046
C=CCC	-0.02	0.09	53.5771
C=C(C)C	-4.10	0.11	51.7474
C1CCC1	6.60	0.11	53.5969
CC1CC1	5.81	0.31	64.8034
[CH2]CCC	18.70	0.23	60.005
CCCC	-30.10	0.06	33.9794
CC(C)C	-32.21	0.08	35.2957
C1=CCC=C1	31.73	0.18	83.3392
C1=CCCC1	8.09	0.11	60.7284
C1CCCC1	-18.54	0.11	40.4895
CCCCC	-34.98	0.07	41.5362
CCC(C)C	-36.63	0.11	39.8676
[C]1=CC=CC1	80.56	0.14	116.2205
C1=CC=CC=C1	19.86	0.06	71.6676
C=CCCC=C	20.03	0.10	88.3322
C1CCCCC1	-29.43	0.09	44.8872
CCCCCC	-39.90	0.08	49.0904
