0,1,2,3,4,5,6,7,8
C,-17.81,13.33,-9.008336257,-7.137197935,-12.75020879,0,0,0
C#C,54.56,69.1,51.14612524,51.01337604,48.82319378,58.1472675,55.28,0
C#CC#C,110.0143403,126.19,99.43325252,95.4386244,101.0136364,101.6057143,0,0
C#CCC,39.62,79.67,38.21551631,34.57440036,35.93433698,36.52495173,39.96857143,36.3925
C/C=C/C,-2.7,49.73,0.046304547,-2.512199009,-2.254628107,-0.831397013,-6.253529412,14.38
C/C=C\C,-1.75,50.45,0.67313999,-1.775459408,-1.548592393,-0.111397013,-5.533529412,15.1
C1=C=C1,118.5755258,165.47,145.9708235,142.8866613,140.4312731,147.16,0,0
C1=CC1CC2C=C2,50.79,131.73,64.28228585,66.85261718,63.80504382,58.75,0,0
C1=CC=CC=C1,19.86,71.67,16.81213563,14.71813156,17.31570002,18.03679732,18.815,0
C1=[C]C1,125.13,167.92,150.052704,153.8491771,153.5762907,140.7075382,144.2911778,148.46
C1C=C1,67.83,103.24,71.31151688,71.66072809,66.20158536,68.29241984,69.60467003,68.26214286
C1C=CC=C1,31.73,83.34,35.6071815,34.18597756,29.71007482,40.45574396,44.00602773,55.06
C1CC1,12.82,57.97,18.1226356,18.57477729,15.7520101,17.2353802,18.92102564,22.5875
C1CC=C1,38.18,88.6,46.37254668,43.89573491,39.97840718,44.225,45.53634146,44.575
C1CC=CC1,8.09,60.73,4.599624717,3.046102864,1.868059881,2.905102041,3.199032258,-0.503846154
C1CCC1,6.6,53.6,0.890958235,1.267060416,-1.995271036,-0.393888889,-0.096222222,1.51047619
C1CCCC1,-18.54,40.49,-21.41236248,-24.89378415,-26.40921896,-24.45204082,-24.27209302,-23.049
C1CCCCC1,-29.43,44.89,-25.71575673,-34.24441606,-32.47236984,-28.39878788,-28.03466667,-25.23071429
C1[C]=CC=C1,80.56,116.22,65.33870173,81.30238994,78.66232514,67.40534785,62.13647228,57.23
C=C,12.54,41.59,15.87581326,14.99981927,10.83295148,9.85392957,8.993071098,0
