0,1,2,3,4,5
C,-17.81,13.33,19.759456319884528,17.72099923612753,12.884403212949229
C#C,54.56,69.1,20.31876332951211,18.051943517878637,11.374099570559125
C#CC#C,110.0143403,126.19,19.523698704068323,17.917561708876313,10.999135315375948
C#CCC,39.62,79.67,18.872147567345486,17.74044673495968,14.815565705696917
C/C=C/C,-2.7,49.73,18.745955434459912,17.51076480792794,15.175644406163315
C/C=C\C,-1.75,50.45,18.746149394940822,17.510249432354904,15.175118603654017
C1=C=C1,118.5755258,165.47,18.34977555655662,16.94005696557769,12.053078182319975
C1=CC1CC2C=C2,50.79,131.73,14.971384116338497,14.811351148176216,8.49733023456242
C1=CC=CC=C1,19.86,71.67,17.407172172484582,16.815647141938683,5.379131293049792
C1=[C]C1,125.13,167.92,20.7357527550075,16.29046559687632,13.805186148970783
C1C=C1,67.83,103.24,19.735936195738894,18.362903598087932,14.079887889316433
C1C=CC=C1,31.73,83.34,18.506749728098523,17.652237774029004,15.338791369860179
C1CC1,12.82,57.97,19.18977567402792,17.01804986942286,12.195522767119728
C1CC=C1,38.18,88.6,18.792983167695997,17.712705601732534,15.183741976626337
C1CC=CC1,8.09,60.73,17.2040858004871,16.18726961004755,13.322774461862032
C1CCC1,6.6,53.6,18.69952481300243,17.438612246924578,12.899070910658637
C1CCCC1,-18.54,40.49,16.009972238378804,15.215586107461002,11.749005652582948
C1CCCCC1,-29.43,44.89,15.975304416991504,15.649994789609037,11.297606191989226
C1[C]=CC=C1,80.56,116.22,19.932154514322864,17.95817375961528,15.992841565468765
C=C,12.54,41.59,19.89474747562372,17.649278193749105,13.823979770382135
C=C=C,45.38,73.72,19.840685262756956,18.36510494944895,13.459531610203486
C=CC=C,26.43,72.31,18.87118776251174,17.775472296118824,14.354547253182675
C=CCCC=C,20.03,88.33,16.641666311014923,16.010505894555727,13.217503887511963
CC,-20.05,19.11,20.222660007884713,17.801156794479812,13.802062095070834
CC#C,44.39,71.36,19.840390039911327,18.34255995037118,13.321711926020127
CC#CC,34.89,73.86,18.860069780268283,17.719660470387357,14.750693709657616
CC#[C],125.87,153.48,21.316360810545067,17.783765439721606,14.32625482966984
CC(C)=C,-4.1,51.75,18.720528300219772,17.49196447633173,15.135793860037985
CC(C)C,-32.21,35.3,17.93139359310512,16.250251736858445,13.628847284506557
CC(C)CC(C)(C)C,-53.47,73.19,14.918653506008473,14.918653506008473,11.340396598860966
CC1=CC=CC=C1,12.01,77.56,16.331365016918216,16.124940339175804,5.379131293049792
CC1CC1,5.81,64.8,18.659848104084237,17.43088912556875,13.204237219253482
CC=C,4.78,45.71,19.31647082255704,17.10848101056423,14.218868587815752
CCC,-25.1,26.44,19.650589476084797,16.70961839078232,13.772389698129732
CCC(C)C,-36.63,39.87,16.60415648703544,15.735330798183165,12.50293184426911
CCC=C,-0.02,53.58,18.74201254983391,17.50991524955,15.172070504255684
CCCC,-30.1,33.98,18.02485268243146,16.342856046654713,13.788820778116046
CCCCC,-34.98,41.54,16.60381951197656,15.735010739779005,12.502332636626699
CCCCCC,-39.9,49.09,15.306859245985827,15.104978224695927,12.060811178368725
CCCCCCCC,-49.78,60.59,15.75782227747874,15.75782227747874,14.156724956164195
C[CH]C,21.2,46.7,19.693714412818665,17.094412517587024,14.591495022616932
C[C]=C,60.36,78.07,19.99581514334773,17.755442319780173,15.974000096845964
[CH2],93.58,85.81,19.239592442464666,16.472415674312558,21.291387448349177
[CH2]C,28.65,44.75,19.274297494465902,16.491285261185006,13.809246475609577
[CH2]C#C,84.0,92.89,20.982061627122643,18.007471767185145,15.602430516249424
[CH2]C=C,40.11,62.48,20.190246305584747,17.84197111585267,16.03193262189897
[CH2]CC,24.09,52.5,19.837450993171913,17.168582861798907,14.65340334439985
[CH2]CCC,18.7,60.01,20.118622125007565,17.26034825220592,14.033118711466564
[CH3],34.98,44.99,20.28993191437387,16.546451852894013,12.878772985222232
[CH],142.48,148.32,20.455202906348656,16.98109629656664,20.724077874168294
[CH]1C=C1,116.26,128.6,21.131168306779646,18.092480018094705,17.407525649889468
[CH]1CC1,69.36,92.33,20.20956539299317,17.846001467044605,16.19005737164935
[CH]=C,70.96,78.2,19.262596356630556,16.757858624787033,14.165323527831912
[CH]=C=[CH],130.5879541,119.56,17.675016916278143,15.430708800089606,16.4219629434921
[CH]=CC,64.34,66.0,18.68604011388416,16.674112558144316,14.469033052056629
[CH]C,84.71558317,81.9,18.671188446441104,15.502049994272943,18.850756132317162
[C],171.34,171.21,20.28133855092631,17.976913665400353,23.74621159314924
[C]#C,135.75,150.21,20.411525512075215,17.3533144889865,13.132163750875371
[C]=C,98.51816444,125.39,20.108253088898763,17.883322431662602,22.02909982166332
[C]=C=C,132.7891969,156.61,19.54623091443291,18.206388639064908,23.127975696313136
[C]=C=[CH],172.6338432,179.33,21.500333196032194,18.6668493264439,23.10479850794164
[C]=C=[C],196.8164436,217.83,20.625538310403645,19.73758002784516,21.34461568791899
[C]=[C],198.0592734,218.9935,20.474168947972824,18.272341828893246,20.3132022998387
[C]C,120.6692161,135.04,19.5121024143065,16.80169597998718,19.84902936632792
[HH],-0.01,-0.12,19.52667144999166,17.54604338470959,0
[H],52.1,52.1,20.48478236230401,16.913963382312843,0
