0,1,2,3,4,5,6,7,8
C,-17.81,-17.55,-17.80126339,-18.04995894,-17.81741227,0,0,0
C#C,54.56,56.13,54.93411732,55.05619532,54.96608531,55.00404022,55.74,0
C#CC#C,110.0143403,112.5443,110.1785589,110.3659808,109.7520273,109.9271571,0,0
C#CCC,39.62,42.22,39.82414258,39.79770041,39.7548581,40.02533087,40.07444469,40.43
C/C=C/C,-2.7,-0.42,-2.751864701,-2.784495476,-2.632709321,-2.546122903,-2.596667224,-2.73
C/C=C\C,-1.75,0.75,-1.503099269,-1.607757793,-1.456226562,-1.376122903,-1.426667224,-1.56
C1=C=C1,118.5755258,120.4165,118.4441346,118.7391175,118.3460735,118.1965,0,0
C1=CC1CC2C=C2,50.79,60.35,55.00068863,56.53236248,55.02512206,55.21,0,0
C1=CC=CC=C1,19.86,22.1,20.36488605,18.24514889,20.30920835,20.39488065,20.21,0
C1=[C]C1,125.13,126.83,124.877326,124.950426,124.6357376,124.4474132,124.4683978,123.55
C1C=C1,67.83,69.63,67.47560023,67.91739344,67.64054388,67.57531599,67.51905914,67.45142857
C1C=CC=C1,31.73,35.02,31.62799294,32.08964704,31.62603053,31.33523082,30.53700273,30.15
C1CC1,12.82,14.63,12.64277633,12.93480214,12.69520233,12.61115583,12.6515953,12.460625
C1CC=C1,38.18,41.04,38.34050772,38.63059783,38.45711204,38.46859375,38.46717949,38.575
C1CC=CC1,8.09,11.22,7.866467555,8.186602155,8.051436293,7.935882353,7.875666667,7.909230769
C1CCC1,6.6,9.75,7.392256227,7.412148998,7.260897369,7.346551724,7.41,7.475238095
C1CCCC1,-18.54,-15.44,-18.38931328,-18.45102242,-18.54437087,-18.6074,-18.58813953,-18.49333333
C1CCCCC1,-29.43,-26.28,-30.17291114,-29.92716717,-30.08496243,-30.22171429,-30.23354839,-30.296
C1[C]=CC=C1,80.56,85.33,82.01742758,82.40960517,82.01311791,82.2112435,82.12799728,82.14
C=C,12.54,13.55,12.42393246,12.46331795,12.47021077,12.39468865,12.8080461,0
C=C=C,45.38,46.84,44.97701335,45.11286979,45.11151809,44.59383235,44.23689687,0
C=CC=C,26.43,28.97,26.55287309,26.54506134,26.66780565,26.53928571,25.68,0
C=CCCC=C,20.03,23.96,20.31732896,20.34867525,20.47180002,20.24,20.9,0
CC,-20.05,-19.28,-20.18307034,-20.30950024,-20.25111748,-20.32433178,-20.28129032,0
CC#C,44.39,46.09,44.15040753,44.37349652,44.14399599,44.14312208,44.2905,45.02
CC#CC,34.89,37.27,34.79523797,34.83662449,34.76308594,34.49957984,34.26,34.26
CC#[C],125.87,128.44,126.6836648,126.6212324,126.6983722,126.7613534,126.775,126.5
CC(C)=C,-4.1,-1.83,-3.971286662,-4.194801735,-4.04333001,-3.909946833,-4.003885733,0
CC(C)C,-32.21,-30.17,-32.09602204,-32.45956539,-32.38510779,-32.20656304,-32.04400774,-32.24610841
CC(C)CC(C)(C)C,-53.47,-49.63,-54.00492529,-54.23667624,-54.13996857,0,0,0
CC1=CC=CC=C1,12.01,14.4,11.57293911,9.004210067,11.56079165,11.47511935,11.66,0
CC1CC1,5.81,8.08,5.529229453,5.715198265,5.481812231,5.441917317,5.617626508,4.693891585
CC=C,4.78,6.45,4.707964356,4.749512467,4.833131145,4.778690053,4.809206331,4.7
CCC,-25.1,-23.68,-25.236953,-25.36586559,-25.32342635,-25.29826326,-25.30335566,-25.39529412
CCC(C)C,-36.63,-34.08,-36.75168519,-37.06315507,-36.92461518,-36.75663728,-36.63879204,0
CCC=C,-0.02,2.38,0.21694447,0.019179624,0.167566541,0.12742513,0.22555579,0.565
CCCC,-30.1,-27.91,-29.98259637,-30.18900714,-30.11471683,-30.13899736,-30.195,-30.07047619
CCCCC,-34.98,-32.14,-34.92128137,-35.09341319,-34.9340646,-34.99636364,-34.9577551,-35.02826087
CCCCCC,-39.9,-36.38,-39.66131453,-39.79865442,-39.5856246,-39.74076923,-39.691875,-39.72882353
CCCCCCCC,-49.78,-45.5,-50.29833499,-49.95839785,-49.78965706,-50.29111111,-50.27625,-50.04666667
C[CH]C,21.2,22.61,21.04061006,20.87254061,20.93709659,21.02570069,20.90417305,21.23610841
C[C]=C,60.36,61.78,60.05902908,59.96052437,60.05758025,60.12366523,60.26691649,0
[CH2],93.58,94.75,94.19087493,94.2797518,94.38248163,94.36199238,94.31755207,0
[CH2]C,28.65,29.94,28.93970935,28.88171274,28.88723877,28.85910182,28.73421788,28.76333333
[CH2]C#C,84,85.37,83.48361859,83.46552054,83.35162412,83.37453414,83.2868514,83.19
[CH2]C=C,40.11,41.46,39.65777204,39.63635368,39.73021183,39.59172576,39.4325,39.525
[CH2]CC,24.09,25.87,24.09992862,24.16846505,24.24292793,24.1301715,23.96128205,23.95777778
[CH2]CCC,18.7,21.45,19.21052144,19.07300557,19.265387,19.17344434,19.11850678,19.1825
[CH3],34.98,35.67,35.18372841,35.24897465,35.29871492,35.19831031,35.11266667,0
[CH],142.48,142.48,141.9392018,141.922246,141.8707994,141.5674095,141.2784482,141.3277832
[CH]1C=C1,116.26,118.37,116.4483397,116.5190819,116.2513242,116.2847637,116.1825,0
[CH]1CC1,69.36,71.72,69.92361601,69.96407146,69.74340162,69.82771616,69.92116931,70.47610842
[CH]=C,70.96,71.98,70.92623507,70.83992965,70.93715998,70.79692407,70.97977438,71.04
[CH]=C=[CH],130.5879541,132.0493,130.2692335,130.3434975,130.4425797,130.4157745,130.3767554,0
[CH]=CC,64.34,66,64.22004721,64.19482389,64.30374566,64.2178282,64.38361479,64.26
[CH]C,84.71558317,86.1378,85.00629085,85.06786781,85.002282,85.23066902,85.36312953,85.8678
[C],171.34,171.22,170.3704862,170.6514111,171.4445017,170.8183893,170.2846077,0
[C]#C,135.75,137.01,135.6279189,135.8748924,135.6601286,135.7670979,134.845,135.12
[C]=C,98.51816444,99.9501,98.73942194,98.86602461,98.88248662,99.28639318,99.65256944,0
[C]=C=C,132.7891969,134.2872,132.769001,132.5837786,132.6926988,132.8552004,132.8896418,0
[C]=C=[CH],172.6338432,174.1532,172.5626893,172.1377446,172.4292694,172.7516467,172.8458162,0
