0,1,2,Diff,3,Diff,4,Diff,5,Diff,6,Diff,7,Diff,8,Diff,9,Diff,10,Diff,11,Diff,12,Diff,13,Diff,14,Diff
C,-17.81,-17.55,0.26,-17.80126339,0.008736615,-18.20857143,0.398571429,-17.79408746,0.015912536,-17.97384615,0.163846154,-17.95402906,0.144029065,-18.15791496,0.347914957,-17.65249619,0.157503812,-17.97285714,0.162857143,-17.83111844,0.02111844,-18.15791496,0.347914957,-17.88676318,0.076763185,-17.85,0.04
C#C,54.56,56.13,1.57,54.91968951,0.359689506,54.83636364,0.276363636,54.98728788,0.427287876,54.7165078,0.156507797,54.9993912,0.439391196,55.07721496,0.517214964,54.9211445,0.361144501,54.3725,0.1875,54.86238351,0.302383506,54.97539678,0.415396782,54.93626662,0.376266624,54.85,0.29
C#CC#C,110.0143403,112.5443,2.5299597,110.2271864,0.212846085,109.7209667,0.293373633,110.2290245,0.214684167,110.2609667,0.246626367,109.9049177,0.109422579,109.6009667,0.413373633,109.6224299,0.3919104,109.6743,0.3400403,110.4187178,0.404377499,109.6009667,0.413373633,110.3445128,0.330172509,110.0609667,0.046626367
C#CCC,39.62,42.22,2.6,39.83031346,0.210313457,39.88941414,0.269414135,39.89129581,0.271295813,39.99941651,0.379416506,39.75692524,0.136925236,39.65125756,0.031257556,39.74208549,0.122085489,40.09125,0.47125,39.93616811,0.316168106,40.051875,0.431875,39.88227979,0.262279786,39.87411765,0.254117647
C/C=C/C,-2.7,-0.42,2.28,-2.782342166,0.082342166,-2.795517241,0.095517241,-2.700478762,0.000478762,-2.684064519,0.015935481,-2.589013214,0.110986786,-2.392333333,0.307666667,-2.599363819,0.100636181,-2.675192716,0.024807284,-2.748388699,0.048388699,-2.734827586,0.034827586,-2.776111468,0.076111468,-2.740344828,0.040344828
C/C=C\C,-1.75,0.75,2.5,-1.505129519,0.244870481,-1.473793103,0.276206897,-1.483808904,0.266191096,-1.420066743,0.329933257,-1.412182222,0.337817778,-1.224666667,0.525333333,-1.417140672,0.332859328,-1.440723248,0.309276752,-1.493300032,0.256699968,-1.475357143,0.274642857,-1.512130404,0.237869596,-1.4575,0.2925
C1=C=C1,118.5755258,120.4165,1.8409742,118.6039618,0.028435952,118.4011154,0.174410415,118.5673235,0.008202292,118.4934231,0.082102723,118.5295704,0.045955415,118.6449615,0.069435738,118.3477108,0.227815035,118.0011154,0.574410415,118.8654279,0.289902089,118.2648333,0.310692467,118.874589,0.299063205,118.2449615,0.330564262
C1=CC1CC2C=C2,50.79,60.35,9.56,55.20926127,4.419261268,54.83666667,4.046666667,57.38121837,6.591218368,55.58333333,4.793333333,55.15711268,4.36711268,55.12333333,4.333333333,55.51571357,4.725713572,55.74333333,4.953333333,55.51354362,4.723543623,54.50333333,3.713333333,56.75949501,5.96949501,55.53333333,4.743333333
C1=CC=CC=C1,19.86,22.1,2.24,20.35941254,0.49941254,20.355,0.495,20.40841553,0.548415529,20.1125,0.2525,20.33680669,0.476806687,20.39,0.53,20.37085297,0.510852969,20.1225,0.2625,20.32600103,0.466001034,19.93,0.07,20.36140563,0.501405629,19.9475,0.0875
C1=[C]C1,125.13,126.83,1.7,124.8414396,0.288560435,124.4846143,0.645385679,124.5632896,0.566710358,124.4188982,0.711101763,124.8232649,0.306735081,124.8056661,0.324333939,124.5930881,0.536911922,124.7938889,0.336111111,124.7846236,0.345376367,124.7535668,0.376433212,124.3233077,0.806692345,123.9752632,1.154736842
C1C=C1,67.83,69.63,1.8,67.56896913,0.261030869,67.34828258,0.481717417,67.63197308,0.19802692,67.35828258,0.471717417,67.6684755,0.161524497,67.91081431,0.080814313,67.6760646,0.153935405,67.48995764,0.340042357,67.76032767,0.069672332,67.91081431,0.080814313,67.63185718,0.198142818,67.52636659,0.303633406
C1C=CC=C1,31.73,35.02,3.29,31.7718512,0.041851198,31.89694365,0.166943653,31.39920465,0.330795352,31.50025713,0.229742869,31.33112109,0.398878913,30.25709544,1.472904555,31.58411217,0.145887831,30.31725645,1.41274355,32.12947664,0.399476641,30.25709544,1.472904555,32.10528225,0.375282254,30.37176211,1.358237889
C1CC1,12.82,14.63,1.81,12.58813508,0.231864924,12.08150003,0.738499965,12.52960626,0.290393739,12.06870458,0.751295421,12.54551354,0.27448646,12.31532158,0.504678417,12.90305207,0.083052069,12.53909091,0.280909091,12.53154776,0.288452235,12.27032158,0.549678417,12.59089305,0.229106946,12.20435718,0.615642822
C1CC=C1,38.18,41.04,2.86,38.51306553,0.333065533,38.57851783,0.398517831,38.54706174,0.36706174,38.56522416,0.385224163,38.48951872,0.309518716,38.36222222,0.182222222,38.50213386,0.32213386,38.56460806,0.384608064,38.51493653,0.334936526,38.57212071,0.392120715,38.64449218,0.464492184,38.56177589,0.381775887
C1CC=CC1,8.09,11.22,3.13,7.855890865,0.234109135,7.886285567,0.203714433,7.838511224,0.251488776,7.841673881,0.248326119,7.836009312,0.253990688,7.806521739,0.283478261,8.081241032,0.008758968,7.862272727,0.227727273,7.862050486,0.227949514,7.821673881,0.268326119,7.985817898,0.104182102,7.807760838,0.282239162
C1CCC1,6.6,9.75,3.15,7.36827082,0.76827082,7.392339971,0.792339971,7.426023067,0.826023067,7.364739971,0.764739971,7.165261771,0.565261771,7.035769231,0.435769231,7.47232723,0.87232723,7.444,0.844,7.381392905,0.781392905,7.353134643,0.753134643,7.405285111,0.805285111,7.32428849,0.72428849
C1CCCC1,-18.54,-15.44,3.1,-18.35754315,0.182456851,-18.0031136,0.536886397,-18.38227937,0.157720625,-18.00421425,0.535785749,-18.09236682,0.447633183,-17.90254345,0.637456553,-18.36113931,0.178860695,-18.32533088,0.214669124,-18.4115095,0.128490502,-18.33,0.21,-18.49521773,0.04478227,-18.22447724,0.31552276
C1CCCCC1,-29.43,-26.28,3.15,-30.16275703,0.732757031,-29.99653577,0.566535766,-30.17729815,0.747298152,-30.01153577,0.581535766,-30.02804632,0.598046316,-30.11148112,0.681481122,-29.94979125,0.51979125,-29.97384615,0.543846154,-30.08553423,0.655534228,-30.04610005,0.616100049,-30.21527546,0.785275457,-30.00810005,0.578100049
C1[C]=CC=C1,80.56,85.33,4.77,82.02501365,1.465013647,82.04444444,1.484444444,82.04962323,1.489623228,81.89688768,1.336887678,81.94383889,1.383838894,81.91888889,1.358888889,81.32951746,0.769517458,77.35125,3.20875,82.49122885,1.931228846,81.74895949,1.188959489,82.01527852,1.455278519,81.81906436,1.259064359
C=C,12.54,13.55,1.01,12.34490963,0.195090369,12.15638195,0.383618051,12.39593065,0.144069349,12.15309463,0.386905366,12.4773514,0.062648597,12.4807786,0.059221401,12.5257496,0.014250397,11.74818182,0.791818182,12.35461779,0.185382206,12.4807786,0.059221401,12.36323455,0.176765447,12.15142857,0.388571429
C=C=C,45.38,46.84,1.46,44.9449637,0.435036297,44.86669488,0.513305123,45.05806553,0.321934465,45.04013482,0.339865179,45.30771213,0.072287871,45.01794516,0.362054842,45.12079478,0.259205223,44.57990258,0.80009742,45.19891199,0.181088014,44.96044516,0.419554842,45.04115514,0.338844861,44.90555114,0.474448865
C=CC=C,26.43,28.97,2.54,26.54289367,0.112893672,26.677,0.247,26.63992863,0.209928628,26.7355,0.3055,26.6919247,0.261924697,26.775,0.345,26.6416174,0.211617399,26.46095129,0.03095129,26.59395173,0.163951731,26.68445129,0.25445129,26.6569297,0.226929698,26.71557266,0.285572656
C=CCCC=C,20.03,23.96,3.93,20.30504385,0.27504385,20.238,0.208,20.36760332,0.337603317,20.50545455,0.475454545,20.18180745,0.151807455,20.12,0.09,20.45404784,0.424047844,20.90255015,0.872550145,20.2266162,0.196616202,20.30790258,0.27790258,20.16415087,0.134150873,19.97536598,0.054634018
CC,-20.05,-19.28,0.77,-20.19627126,0.146271261,-20.22,0.17,-20.17752187,0.127521868,-20.21958333,0.169583333,-20.29669859,0.246698593,-20.56498035,0.51498035,-19.96699644,0.083003558,-20.36136364,0.311363636,-20.32572527,0.275725275,-20.56498035,0.51498035,-20.15451875,0.104518753,-20.26083333,0.210833333
CC#C,44.39,46.09,1.7,44.17588351,0.214116494,44.14611111,0.243888889,44.19582404,0.194175964,44.01105946,0.378940535,44.18614223,0.203857769,44.33937439,0.050625612,44.16082191,0.229178092,44.09,0.3,44.26380211,0.126197892,44.37757231,0.012427694,44.3245114,0.065488602,44.20294118,0.187058824
CC#CC,34.89,37.27,2.38,34.85075761,0.039242393,34.99705882,0.107058824,34.886974,0.003026003,35.01,0.12,34.9150589,0.0250589,34.89411765,0.004117647,34.7522355,0.137764501,35.0725,0.1825,34.92672123,0.036721233,35.10125,0.21125,34.96785801,0.077858014,34.89823529,0.008235294
CC#[C],125.87,128.44,2.57,126.6828774,0.812877418,126.6946667,0.824666667,126.7746241,0.904624119,126.6428076,0.772807627,126.7064316,0.836431617,126.7787993,0.908799273,126.7132451,0.843245059,126.5586667,0.688666667,126.7656577,0.895657711,126.8200424,0.95004236,126.6797756,0.809775644,126.666,0.796
