0,1,2,3,4,5,6,7,8
C1CCC=CC1,-1.03,1.74,-2.0954701045521995,-1.8338264226371253,-2.1805423533294612,-2.078199999999998,-2.0687179487179455,-1.7699999999999971
CC(=C)C#C,61.9,63.34,60.44095230368215,60.26040330613198,60.517052816388905,0,0,0
CC(C)(C)C1=CC=CC=C1,0.93,3.44,-1.378847568391297,-2.615528308874958,-0.8973800000000007,-0.12219999999999187,0,0
CCC1=CC=CC=C1,7.12,9.42,5.625768619574744,4.476358207096028,6.408861904761904,6.3541888888888876,6.822799999999998,0
CC(C)(C)C,-40.32,-38.38,-40.87036461574664,-41.17170373459908,-41.07220425565627,-40.881249999999994,0,0
CC=CC=C,18.21,21.18,18.218370819405372,18.137170948847096,18.145425387424474,17.876458333333332,0,0
C1C=CCC=C1,25.02,28.87,24.981925977794834,25.18559411062151,24.689832335777453,24.749023510144927,24.69066666666667,26.54333333333334
CC(=C=C)C,30.85,32.86,30.00707933453035,29.76372342426137,29.885716995580808,0,29.321635100000016,30.523932459999994
[CH2](C)CC,16.73,19.48,17.184785187641953,17.275812485390606,17.46573689553524,17.12154564679487,17.31433333333333,17.238026315789472
CC(C)(C)[CH2],8.91,12.28,9.69916333830124,9.146473866389105,9.147417586601309,0,0,0
[CH2]C1=CC=CC=C1,49.47,52.77,49.925069080842924,48.12526064241399,49.945933333333336,0,0,0
CC(=C(C)C)C,16.8,20.77,17.517896357160073,17.290848200347217,17.49130482718505,0,0,0
C(C)=CCC,-9.92,-7.74,-10.683740719125332,-10.648123511610077,-10.7511844015812,-10.453703703703706,-10.495944444444444,-10.779999999999987
CC1CCCCC1,-36.9972,-34.22,-38.46354556910779,-38.31111412862888,-38.60690505753968,-38.599374999999995,-38.76428571428571,-37.93000000000001
C[C](C)CC,6.7,10.3,7.582908234009004,7.156516899996043,7.339503326470589,6.880000000000006,7.765000000000002,0
C(C)C#C,32.6,35.75,33.40134458746075,33.37476522278771,33.17058202929293,33.449375,33.669999999999995,32.045
CC=C=C,38.81,40.53,38.16100927840011,38.16751827461786,38.19500329786008,38.5770936,0,0
CC(C)C1=CC=CC=C1,0.93,3.35,-0.984834471448182,-2.224546956632122,-0.1978090909090903,0,0,0
CC(C)(C)C#C,25.57,28.15,24.754466406910673,24.529771364336426,24.53769626333333,25.074999999999996,0,0
C[C](C)C,12.31,14.36,12.257557212400899,11.847094920607748,12.041127463801585,11.686325830000001,11.960716099999996,0
CC(C)(C)C=C,-14.29,-11.95,-15.17870682791111,-15.34794977693881,-15.513689672447516,-14.90999999999999,0,0
C[CH]CC,16.491,18.26,16.143754432985435,15.774331927407369,15.904449953444447,15.958333333333334,15.897380952380953,15.619999999999997
C=CCC=C,25.41,27.8,24.65931424840383,24.78803224124017,24.868521195949292,24.546055555555554,24.499999999999996,24.75541666666667
C=CC1=CC=CC=C1,35.32,38.12,34.547964344212026,33.22262843282322,34.97949,34.9878,0,0
C=CC#C,70.79,71.48,69.08107214833858,69.13028230703495,68.68306489230771,69.1566801,0,0
CC(C)C(C)C,-42.49,-40.152,-43.07589336492496,-43.61861875257735,-43.55044662411467,-43.32938095238095,-42.971858415,0
C1=CC=[C]C=C1,81.24,84.41,81.92524901334494,80.27723900299355,82.54668,82.61779999999999,0,0
C1CC=CC=C1,25.41,28.73,24.794470330490057,25.09191597209594,24.55801015354485,24.358196078431373,24.86530516,0
CC(C)C=C,-6.55,-4.64,-7.357017537424164,-7.517776227971907,-7.4860382315942005,-7.37578125,-7.35,0
C1=CC#CC=C1,105.95,112.23,109.74187921808166,108.66441339068491,0,0,0,0
CC(=C)C1=CC=CC=C1,28.27,30.76,26.638764040082552,25.029401483701037,26.154999999999998,25.827800000000003,0,0
CC(C)(C)C(C)(C)C,-53.99,-51.77,-55.86863193807832,-56.38587394651385,-56.342204992666666,0,0,0
CC1=CC=CC=C1,11.9978,14.27,10.483801591815068,10.118195531920867,11.285833333333334,0,0,0
