0,1,2,Diff,3,Diff,4,Diff,5,Diff,6,Diff,7,Diff,8,Diff,9,Diff,10,Diff,11,Diff,12,Diff,13,Diff,14,Diff
C,-17.81,13.33,31.14,-9.008336257,8.801663743,-12.255,5.555,-9.694990258,8.115009742,-15.93928571,1.870714286,-8.764028199,9.045971801,-6.192515707,11.61748429,-9.997978055,7.812021945,-8.78,9.03,-7.355362342,10.45463766,-6.192515707,11.61748429,-10.43948113,7.370518871,-18.18714286,0.377142857
C#C,54.56,69.1,14.54,49.82752966,4.732470345,54.56090909,0.000909091,54.3237147,0.236285296,54.51003983,0.049960169,50.56771603,3.992283969,36.49503215,18.06496785,50.61526482,3.944735177,54.18166667,0.378333333,50.63333539,3.926664615,34.32594125,20.23405875,49.25583829,5.30416171,46.70916667,7.850833333
C#CC#C,110.0143403,126.19,16.1756597,97.7995198,12.2148205,109.0433333,0.971006967,108.4936413,1.520698997,107.6,2.4143403,96.42685517,13.58748513,100.1333333,9.881006967,97.52420752,12.49013278,112.2133333,2.198993033,94.29326228,15.72107802,100.1333333,9.881006967,93.86640886,16.14793144,109.4633333,0.551006967
C#CCC,39.62,79.67,40.05,37.45897648,2.161023525,40.23362269,0.613622687,37.44714581,2.172854191,41.79462827,2.174628271,34.94829765,4.671702352,38.48753473,1.132465273,35.47296119,4.147038814,41.39058824,1.770588235,37.02907077,2.590929226,40.848125,1.228125,36.23861783,3.381382175,40.445625,0.825625
C/C=C/C,-2.7,49.73,52.43,-0.251585405,2.448414595,-2.547586207,0.152413793,1.851127975,4.551127975,-0.155779841,2.544220159,-4.975197319,2.275197319,-3.205357143,0.505357143,-4.203350149,1.503350149,-7.403666667,4.703666667,-1.217010523,1.482989477,0.277958573,2.977958573,-1.17671221,1.52328779,1.115714286,3.815714286
C/C=C\C,-1.75,50.45,52.2,0.276122928,2.026122928,-1.986206897,0.236206897,2.512840304,4.262840304,0.514934444,2.264934444,-4.704083895,2.954083895,-1.846428571,0.096428571,-3.636005994,1.886005994,-8.892857143,7.142857143,-0.643234299,1.106765701,0.86762524,2.61762524,-0.538904026,1.211095974,1.781428571,3.531428571
C1=C=C1,118.5755258,165.47,46.8944742,140.1226805,21.54715472,135.5215385,16.94601266,137.7915537,19.21602787,132.8121429,14.23661706,138.1043053,19.52877945,140.3958333,21.82030753,140.3424909,21.76696513,142.3257143,23.75018849,143.4503148,24.87478902,141.0871429,22.51161706,142.3717982,23.79627238,140.3257143,21.75018849
C1=CC1CC2C=C2,50.79,131.73,80.94,61.91764627,11.12764627,57.31,6.52,69.80535078,19.01535078,68.07,17.28,60.39198705,9.601987053,57.40666667,6.616666667,60.833224,10.043224,68.75,17.96,67.85242256,17.06242256,59.76666667,8.976666667,68.18045888,17.39045888,56.04,5.25
C1=CC=CC=C1,19.86,71.67,51.81,16.951963,2.908037,15.5275,4.3325,16.42575974,3.434240256,13.9675,5.8925,16.59234789,3.267652113,16.6325,3.2275,15.64583737,4.214162628,19.19,0.67,16.00159263,3.85840737,16.38,3.48,16.17743818,3.68256182,16.6225,3.2375
C1=[C]C1,125.13,167.92,42.79,151.9967895,26.8667895,148.1064807,22.97648071,151.5822333,26.45223328,148.5492543,23.4192543,152.8734719,27.74347188,153.9159555,28.78595546,156.6803351,31.55033515,157.3531579,32.22315789,151.4995895,26.36958954,157.3521654,32.22216539,150.2487642,25.11876421,149.7266667,24.59666667
C1C=C1,67.83,103.24,35.41,68.86710318,1.037103175,64.3165644,3.513435599,68.02380906,0.193809063,64.53610986,3.293890144,65.85088802,1.979111979,56.15890514,11.67109486,68.76530895,0.935308948,69.68024025,1.850240252,67.48968115,0.340318848,56.15890514,11.67109486,69.92077405,2.090774053,70.98251608,3.152516077
C1C=CC=C1,31.73,83.34,51.61,33.66558887,1.935588867,26.09487699,5.635123013,33.15421999,1.424219994,27.56880688,4.16119312,31.67663723,0.053362767,34.40473948,2.674739479,30.61390558,1.116094417,24.50700645,7.22299355,34.38433561,2.654335612,34.40473948,2.674739479,30.67107037,1.058929633,34.63348948,2.903489479
C1CC1,12.82,57.97,45.15,19.06188139,6.24188139,20.33276004,7.512760036,23.17941438,10.35941438,21.36876004,8.548760037,17.87715814,5.057158137,22.78390144,9.96390144,17.84001078,5.020010781,19.822,7.002,20.88898888,8.068988883,20.87674861,8.056748608,22.06719872,9.247198723,21.59676004,8.776760036
C1CC=C1,38.18,88.6,50.42,44.69748789,6.517487887,43.43374283,5.253742831,45.37514263,7.195142632,45.86155865,7.681558646,38.86622937,0.686229374,34.36357143,3.816428571,43.41368937,5.233689367,47.51074074,9.330740741,44.64816763,6.468167632,44.86389632,6.683896323,45.56754057,7.387540565,47.14389632,8.963896323
C1CC=CC1,8.09,60.73,52.64,4.473429389,3.616570611,6.99644103,1.09355897,2.834639655,5.255360345,-0.979781851,9.069781851,0.905962605,7.184037395,-0.894285714,8.984285714,2.848508759,5.241491241,2.885416667,5.204583333,2.099093979,5.990906021,-0.620690942,8.710690942,1.694157073,6.395842927,-1.604327306,9.694327306
C1CCC1,6.6,53.6,47,0.744033487,5.855966513,-2.069383364,8.669383364,2.005513371,4.594486629,-1.898966697,8.498966697,-2.557874548,9.157874548,-4.04173913,10.64173913,-1.040444284,7.640444284,0.719166667,5.880833333,3.242826179,3.357173821,3.634383364,2.965616636,2.285120886,4.314879114,3.253133364,3.346866636
C1CCCC1,-18.54,40.49,59.03,-21.41749584,2.877495844,-22.7421333,4.202133299,-21.30258281,2.762582811,-23.3768952,4.836895203,-23.05547129,4.515471287,-23.00260949,4.462609489,-26.03157625,7.491576252,-27.27383974,8.733839736,-21.29990239,2.759902393,-20.91761905,2.377619048,-21.44058202,2.900582016,-21.83451425,3.294514251
C1CCCCC1,-29.43,44.89,74.32,-25.41086878,4.01913122,-25.48108577,3.948914234,-25.6510012,3.778998803,-23.70501338,5.724986618,-27.11845573,2.311544266,-25.78102977,3.648970226,-32.90874782,3.478747821,-37.28866667,7.858666667,-25.860447,3.569552998,-23.73968005,5.690319951,-25.92820288,3.501797123,-24.49251434,4.937485662
C1[C]=CC=C1,80.56,116.22,35.66,75.86345507,4.696544933,88.21333333,7.653333333,75.31334838,5.246651625,77.68954323,2.870456767,77.91830353,2.64169647,89.39,8.83,78.29551307,2.264486934,70.19625,10.36375,78.57959811,1.980401887,76.67339282,3.886607178,73.07183819,7.48816181,78.8098088,1.750191197
C=C,12.54,41.59,29.05,14.52591653,1.985916528,11.5538745,0.986125501,13.65117541,1.111175412,10.35064488,2.189355122,18.41410954,5.874109541,20.43334864,7.893348638,10.51691451,2.023085488,12.25521739,0.284782609,16.71636561,4.17636561,20.43334864,7.893348638,13.01173128,0.471731284,10.09772727,2.442272727
C=C=C,45.38,73.72,28.34,41.88492642,3.495073578,40.99012545,4.389874548,42.10564028,3.274359718,42.33773821,3.042261792,48.45982878,3.079828783,52.36876016,6.988760158,39.49911591,5.880884094,39.81388889,5.566111111,48.18593504,2.805935037,52.15326016,6.773260158,42.46164732,2.918352682,39.35574721,6.024252795
C=CC=C,26.43,72.31,45.88,29.5698165,3.139816501,29.98473684,3.554736842,29.34674131,2.916741307,27.05894737,0.628947368,28.51450562,2.084505623,30.66666667,4.236666667,27.95500703,1.525007033,22.68526316,3.744736842,29.11879309,2.688793088,27.9705,1.5405,28.90209589,2.472095888,30.47135649,4.041356495
C=CCCC=C,20.03,88.33,68.3,21.72022945,1.690229445,18.316,1.714,20.40434271,0.374342707,21.74454545,1.714545455,17.42596518,2.604034825,19.778,0.252,21.49442334,1.464423338,12.73355258,7.29644742,21.85516273,1.825162727,22.085,2.055,19.83964465,0.190355352,29.625,9.595
CC,-20.05,19.11,39.16,-19.52464864,0.525351361,-21.22208333,1.172083333,-18.25241442,1.797585578,-20.75565217,0.705652174,-16.27852477,3.771475225,-5.06314448,14.98685552,-19.07983887,0.970161134,-21.29976976,1.249769758,-12.72128704,7.328712959,-5.06314448,14.98685552,-18.74939334,1.300606663,-21.89625,1.84625
CC#C,44.39,71.36,26.97,39.93371454,4.456285463,44.77466667,0.384666667,40.62833057,3.761669431,43.33470588,1.055294118,39.22518863,5.164811365,34.90761556,9.482384435,39.18354672,5.20645328,42.46647059,1.923529412,38.85991525,5.530084755,36.79204814,7.597951865,38.88001168,5.509988323,39.01944444,5.370555556
CC#CC,34.89,73.86,38.97,29.1148522,5.775147802,33.99466667,0.895333333,29.96339762,4.926602379,35.844375,0.954375,29.30210386,5.587896145,28.91411765,5.975882353,29.7476596,5.142340396,35.19941176,0.309411765,30.11376004,4.776239963,34.770625,0.119375,29.77438918,5.115610819,34.500625,0.389375
CC#[C],125.87,153.48,27.61,140.5168279,14.64682792,132.44,6.57,141.739357,15.86935696,130.0649701,4.194970127,140.4661995,14.59619955,145.9176431,20.04764309,144.2635237,18.3935237,137.6426667,11.77266667,138.4231775,12.55317751,141.9306585,16.06065846,138.9067604,13.03676036,138.019375,12.149375
CC(C)=C,-4.1,51.75,55.85,-0.479429528,3.620570472,0.293793103,4.393793103,-1.243331876,2.856668124,-2.33962963,1.76037037,0.97746239,5.07746239,0.3125,4.4125,-1.916013452,2.183986548,-7.738571429,3.638571429,-0.430011736,3.669988264,2.239,6.339,0.114276385,4.214276385,1.80230265,5.90230265
CC(C)C,-32.21,35.3,67.51,-31.44808763,0.76191237,-28.78833333,3.421666667,-31.4091979,0.800802096,-29.21949331,2.990506691,-27.76266552,4.44733448,-28.85709677,3.352903226,-26.83634349,5.373656507,-30.890625,1.319375,-29.67996696,2.53003304,-28.554375,3.655625,-25.98114531,6.228854695,-27.694375,4.515625
CC(C)CC(C)(C)C,-53.47,73.19,126.66,-42.13744636,11.33255364,-40.34333333,13.12666667,-43.75029159,9.719708413,-39.02666667,14.44333333,-47.14758621,6.322413793,-38.40428571,15.06571429,-36.52962963,16.94037037,-36.49285714,16.97714286,-44.66037037,8.80962963,-38.01166667,15.45833333,-37.75461511,15.71538489,-37.29428571,16.17571429
CC1=CC=CC=C1,12.01,77.56,65.55,15.03617544,3.026175442,16.3425,4.3325,13.73114235,1.721142351,17.9025,5.8925,16.51309165,4.503091653,15.2375,3.2275,14.31044029,2.300440285,15.7875,3.7775,14.66815269,2.658152693,15.5475,3.5375,16.53751779,4.527517793,15.2475,3.2375
CC1CC1,5.81,64.8,58.99,15.257248,9.447247997,7.99629562,2.18629562,12.66960577,6.859605774,10.3036,4.4936,10.78900878,4.979008784,5.9772,0.1672,12.40050427,6.59050427,13.21791667,7.407916667,10.06469623,4.254696232,10.55884615,4.748846154,14.94827799,9.138277986,10.0636,4.2536
CC=C,4.78,45.71,40.93,4.007643593,0.772356407,5.248,0.468,7.283854276,2.503854276,3.75875,1.02125,12.26796723,7.487967229,17.93648971,13.15648971,3.218931878,1.561068122,1.331818182,3.448181818,11.71345725,6.933457247,16.3983116,11.6183116,6.185910383,1.405910383,5.562058824,0.782058824
CCC,-25.1,26.44,51.54,-26.74894657,1.648946569,-25.97607143,0.876071429,-25.93400657,0.834006567,-25.68222222,0.582222222,-21.2713104,3.8286896,-12.81252699,12.28747301,-24.30576679,0.794233206,-28.81366667,3.713666667,-19.22077888,5.879221117,-12.77220441,12.32779559,-22.94228326,2.157716744,-23.81133333,1.288666667
CCC(C)C,-36.63,39.87,76.5,-36.07801599,0.551984015,-36.54125,0.08875,-38.79599744,2.165997442,-37.51980803,0.889808029,-35.25787125,1.372128753,-38.99109568,2.361095684,-34.23368018,2.396319815,-39.80458333,3.174583333,-38.35744559,1.727445589,-38.5564,1.9264,-37.44519295,0.815192951,-34.365,2.265
CCC=C,-0.02,53.58,53.6,0.911002609,0.931002609,0.440689655,0.460689655,1.216758333,1.236758333,0.480344828,0.500344828,4.091288134,4.111288134,3.996666667,4.016666667,-0.425084009,0.405084009,-5.520714286,5.500714286,2.195611719,2.215611719,1.354814815,1.374814815,3.422283781,3.442283781,2.293928571,2.313928571
CCCC,-30.1,33.98,64.08,-30.18437634,0.084376335,-30.03633333,0.063666667,-29.77617865,0.323821352,-29.85961486,0.240385139,-27.96790703,2.132092972,-23.69789182,6.402108184,-28.14365442,1.956345583,-31.55483871,1.45483871,-28.71242384,1.387576163,-27.87082154,2.229178457,-27.69502981,2.404970194,-27.23515488,2.864845123
CCCCC,-34.98,41.54,76.52,-36.66545403,1.685454028,-36.04269997,1.06269997,-35.48344289,0.503442889,-35.9267304,0.946730403,-35.30093973,0.320939731,-34.44125,0.53875,-33.15026809,1.829731907,-38.21791667,3.237916667,-35.15859182,0.178591818,-36.6560333,1.676033303,-36.39253519,1.41253519,-36.97759997,1.997599968
CCCCCC,-39.9,49.09,88.99,-37.01444164,2.885558359,-38.71416376,1.185836241,-38.09074481,1.809255185,-38.34004899,1.559951006,-37.42006249,2.479937513,-37.90277778,1.997222222,-38.68682464,1.213175362,-44.33888889,4.438888889,-37.29351614,2.606483862,-38.20833333,1.691666667,-38.13316133,1.766838669,-39.79941176,0.100588235
CCCCCCCC,-49.78,60.59,110.37,-57.29735784,7.517357836,-53.42166667,3.641666667,-54.88997426,5.109974261,-53.42166667,3.641666667,-58.28959649,8.509596493,-49.78428571,0.004285714,-61.55925926,11.77925926,-60.91,11.13,-50.29388145,0.513881454,-47.72714286,2.052857143,-53.78263579,4.00263579,-48.25571429,1.524285714
C[CH]C,21.2,46.7,25.5,15.91414177,5.28585823,17.1075,4.0925,19.78975513,1.410244874,18.09350199,3.106498013,13.90423774,7.29576226,9.739121826,11.46087817,15.95630029,5.243699709,16.12814815,5.071851852,14.28196979,6.918030208,12.49113494,8.708865064,13.72727737,7.472722626,14.49037037,6.70962963
C[C]=C,60.36,78.07,17.71,56.52327086,3.836729141,60.065,0.295,57.2767434,3.083256597,60.16710476,0.192895242,54.73389641,5.626103592,55.77314532,4.586854685,57.50386039,2.856139612,47.91076923,12.44923077,56.3249535,4.035046502,56.43352993,3.926470069,54.71738984,5.642610164,59.54888889,0.811111111
[CH2],93.58,85.81,7.77,72.57186535,21.00813465,100.8555832,7.27558317,72.36585728,21.21414272,99.48740135,5.907401352,74.66523311,18.91476689,71.08767208,22.49232792,75.19462054,18.38537946,94.89218147,1.312181467,71.23462641,22.34537359,71.08767208,22.49232792,71.10673116,22.47326884,86.03808636,7.541913642
[CH2]C,28.65,44.75,16.1,26.64727196,2.002728043,27.11857143,1.531428571,26.88742167,1.762578331,28.37653846,0.273461538,26.16325255,2.486747454,22.25860071,6.391399285,23.93230039,4.717699615,26.49777778,2.152222222,25.46769832,3.182301676,22.25860071,6.391399285,22.91402792,5.735972081,25.03703704,3.612962963
[CH2]C#C,84,92.89,8.89,77.68298612,6.31701388,72.37214627,11.62785373,81.43761899,2.562381008,79.73116754,4.268832463,78.10144655,5.898553449,83.01714286,0.982857143,79.44653601,4.553463991,72.12125,11.87875,74.50956059,9.490439414,76.52528617,7.474713827,76.06989909,7.930100905,75.089375,8.910625
[CH2]C=C,40.11,62.48,22.37,42.29403,2.184029996,45.00444444,4.894444444,41.64258923,1.532589232,44.04846154,3.938461538,40.03723018,0.072769818,43.40969549,3.299695489,42.04113887,1.931138872,40.5648,0.4548,40.89463558,0.784635579,45.82376956,5.713769563,39.41253832,0.697461676,42.76189788,2.651897881
[CH2]CC,24.09,52.5,28.41,22.02013793,2.069862067,23.98692308,0.103076923,21.62526918,2.464730822,23.3156,0.7744,20.44916176,3.640838238,16.68233611,7.407663888,22.33993665,1.750063345,21.25111111,2.838888889,20.32087349,3.769126515,19.0255504,5.064449603,17.64460051,6.445399488,20.99428571,3.095714286
[CH2]CCC,18.7,60.01,41.31,20.44046996,1.74046996,19.13173913,0.43173913,17.70029341,0.999706592,19.24782609,0.547826087,15.37297574,3.327024262,14.82846288,3.871537117,18.34590572,0.35409428,16.84875,1.85125,15.94547638,2.754523619,13.59281071,5.107189291,15.10959096,3.590409039,16.03475665,2.66524335
[CH3],34.98,44.99,10.01,38.01507048,3.03507048,41.67055556,6.690555556,39.38830542,4.408305422,38.7285,3.7485,38.27868533,3.29868533,33.12386021,1.856139791,38.32991253,3.349912531,43.3415,8.3615,36.63976252,1.659762516,33.12386021,1.856139791,35.53576607,0.55576607,35.13421053,0.154210526
[CH],142.48,148.32,5.84,150.9160919,8.436091946,147.1628525,4.682852464,152.9092786,10.42927859,147.7082728,5.228272815,157.7574768,15.27747683,165.7554067,23.27540668,155.1489469,12.66894687,143.5328525,1.052852464,152.8102757,10.33027574,165.7554067,23.27540668,150.4699154,7.989915352,160.2281292,17.74812916
[CH]1C=C1,116.26,128.6,12.34,110.4846777,5.775322266,102.0588985,14.20110155,108.1290327,8.130967336,105.0625876,11.19741237,105.3910793,10.86892073,101.069147,15.19085298,111.765384,4.494615955,114.7388889,1.521111111,103.8988177,12.36118234,103.3221829,12.93781708,111.3137156,4.946284374,111.0932145,5.166785512
[CH]1CC1,69.36,92.33,22.97,70.2001141,0.840114096,59.80732213,9.552677868,69.57148176,0.21148176,68.0159061,1.344093902,71.22412273,1.864122731,60.70870842,8.651291584,71.32475325,1.964753251,73.08578947,3.725789474,70.45556746,1.09556746,60.68570842,8.674291584,71.3655075,2.0055075,71.76181141,2.401811412
[CH]=C,70.96,78.2,7.24,70.14221071,0.817789294,76.26371149,5.303711494,71.42937523,0.469375232,75.64205793,4.682057927,72.17797261,1.21797261,60.51090429,10.44909571,70.02497049,0.935029505,69.3416,1.6184,68.56779366,2.392206345,60.51090429,10.44909571,68.01472935,2.945270653,70.11384615,0.846153846
[CH]=C=[CH],130.5879541,119.56,11.0279541,96.6837658,33.9041883,94.13482789,36.45312621,98.82792052,31.76003358,96.70018355,33.88777055,94.17630527,36.41164883,88.67791759,41.91003651,95.45049884,35.13745526,103.319449,27.26850514,95.08199155,35.50596255,92.51600593,38.07194817,91.72096409,38.86699001,93.08760228,37.50035182
