0,1,2,3,4,5,6,7,8
C1CCC=CC1,-1.03,1.74,-2.1427166,-2.040769595,-2.174739996,-2.140269537,-2.144562837,-2.048160338
CC(=C)C#C,61.9,63.34,60.28701083,60.2295743,60.09103967,60.07750887,0,0
CC(C)(C)C1=CC=CC=C1,0.93,3.44,-1.547196943,-5.648910528,-1.332683237,0,0,0
CCC1=CC=CC=C1,7.12,9.42,5.890031864,2.556787133,5.944233987,6.15351816,0,0
CC(C)(C)C,-40.32,-38.38,-41.03628872,-41.32049962,-41.16956007,-40.87316763,0,0
CC=CC=C,18.21,21.18,18.1666062,18.09085853,18.13382979,18.10447519,18.09109306,17.49566604
C1C=CCC=C1,25.02,28.87,24.9213275,25.10566784,24.68320097,24.66478414,24.69059911,24.68646272
CC(=C=C)C,30.85,32.86,29.90017708,29.77085853,29.81382979,30.33245696,30.14282982,0
[CH2](C)CC,16.73,19.48,17.2161165,17.19521656,17.33157363,17.26354961,17.30279529,17.34680688
CC(C)(C)[CH2],8.91,12.28,9.470304501,9.223493077,9.213669761,9.841061183,0,0
[CH2]C1=CC=CC=C1,49.47,52.77,49.97627549,46.68040078,49.91849904,50.72971319,0,0
CC(=C(C)C)C,16.8,20.77,17.26494748,17.10710032,17.21638663,17.68384321,0,0
C(C)=CCC,-9.92,-7.74,-10.67375463,-10.76962226,-10.64852995,-10.61535826,-10.65002721,-10.74760994
CC1CCCCC1,-36.9972,-34.22,-38.21066444,-38.57327558,-38.44705927,-38.36904908,-38.36169216,-38.21249522
C[C](C)CC,6.7,10.3,7.447356596,7.243493077,0,0,0,0
C(C)C#C,32.6,35.75,33.40052078,33.30603259,33.29357759,33.41599532,33.41702836,0
CC=C=C,38.81,40.53,38.18091877,38.08603259,38.1436483,38.54859873,38.43193754,0
CC(C)C1=CC=CC=C1,0.93,3.35,-0.647463359,-4.698501957,-0.809481016,0,0,0
CC(C)(C)C#C,25.57,28.15,24.61775874,24.3692304,24.45153296,24.5975564,0,0
C[C](C)C,12.31,14.36,12.27124249,11.97758305,0,0,0,0
CC(C)(C)C=C,-14.29,-11.95,-15.49815753,-15.61289968,-15.50361337,-15.42517209,0,0
C[CH]CC,16.491,18.26,16.04540577,15.87758305,15.56788111,15.71175909,15.71175909,0
C=CCC=C,25.41,27.8,24.60023476,24.71085853,24.75382979,24.55864686,24.52136165,24.50483535
C=CC1=CC=CC=C1,35.32,38.12,34.52697749,31.13947254,34.36043786,34.38978967,0,0
C=CC#C,70.79,71.48,68.94811628,69.06057876,68.8938514,68.86583531,0,0
CC(C)C(C)C,-42.49,-40.152,-43.40792841,-43.67687008,-43.47426911,-43.38621743,-43.24702868,0
C1=CC=[C]C=C1,81.24,84.41,82.13716121,79.36926443,0,0,0,0
C1CC=CC=C1,25.41,28.73,24.77746736,24.96566784,24.54320097,24.52478414,24.75223573,24.80185681
CC(C)C=C,-6.55,-4.64,-7.464521905,-7.669622263,-7.548529946,-7.515358258,-7.517407266,0
C1=CC#CC=C1,105.95,112.23,109.8438021,107.45619,0,0,0,0
CC(=C)C1=CC=CC=C1,28.27,30.76,26.79129063,21.97151429,26.4167304,0,0,0
CC(C)(C)C(C)(C)C,-53.99,-51.77,-56.19020675,-56.54596042,-56.44390556,0,0,0
CC1=CC=CC=C1,11.9978,14.27,11.38480521,8.694531965,11.36103839,11.35502868,11.43709369,0
