0,1,2,3,4,5,6,7,8
C1CCC=CC1,-1.03,1.74,-62.36329501339805,-68.68573272031652,-67.59449756747524,-64.929,-65.24852941176471,-67.26058823529411
CC(=C)C#C,61.9,63.34,19.45231590122951,14.906850119403261,20.112146529890115,14.477354952380958,0,0
CC(C)(C)C1=CC=CC=C1,0.93,3.44,-42.403200000000005,-86.7616941488119,-59.25981052631579,-48.9922,-48.9922,0
CCC1=CC=CC=C1,7.12,9.42,-3.4683225754545397,-57.50474956241176,-27.008134298870964,-2.9598470588235264,-5.021430769230767,0
CC(C)(C)C,-40.32,-38.38,-117.9854634571171,-111.80953495010556,-112.69747783694545,-116.2064845642857,-121.06039194999998,0
CC=CC=C,18.21,21.18,-33.8335645697931,-35.83609366569117,-34.35814065939086,-32.3237702069697,-26.924999999999997,-27.971999999999998
C1C=CCC=C1,25.02,28.87,-34.05116473802082,-32.96122971160452,-36.58353608497142,-32.166875,-29.507999999999992,-29.04
CC(=C=C)C,30.85,32.86,-23.585721833356644,-24.156093665691177,-22.678140659390863,-30.85325037625,-21.762765779999995,-19.938967540000007
[CH2](C)CC,16.73,19.48,-40.34495646287769,-40.907063002232405,-41.88591399668621,-43.7935188472619,-43.28892638616666,-45.30227272727273
CC(C)(C)[CH2],8.91,12.28,-59.327657055599985,-44.71344450526066,-41.1379878310909,-57.83723299071429,-66.5517877425,-53.97999999999999
[CH2]C1=CC=CC=C1,49.47,52.77,17.135612157560978,1.5736258743010827,48.06326561100001,71.61780000000002,71.61780000000002,0
CC(=C(C)C)C,16.8,20.77,-59.31547905237625,-58.102050173096195,-56.07533670089553,-55.975000000000016,0,0
C(C)=CCC,-9.92,-7.74,-71.36977743330937,-72.84620290257945,-72.1424826987742,-71.77708671391892,-71.63047619047619,-67.07000000000001
CC1CCCCC1,-36.9972,-34.22,-119.5429993682353,-127.15121945944281,-123.69818710266128,-123.05351736791665,-123.36562778866666,-126.7
C[C](C)CC,6.7,10.3,-59.53105401554688,-46.693444505260665,-43.117987831090915,-59.81723299071429,-68.5317877425,0
C(C)C#C,32.6,35.75,-4.905734415842695,-8.695001185504585,-7.5504464106735725,-7.187559972727272,-3.981739130434781,-6.451666666666668
CC=C=C,38.81,40.53,-1.6118420364406765,-3.9150011855045856,-3.6167839238839283,-1.5602432150000007,0.8183405320000048,0
CC(C)C1=CC=CC=C1,0.93,3.35,-24.618358608571427,-76.24354447722487,-42.84523127222222,-37.53176,-21.85553333333333,0
CC(C)(C)C#C,25.57,28.15,-42.663882205046725,-42.27573272031651,-36.96029578024691,-42.458406633333325,-48.97999999999999,0
C[C](C)C,12.31,14.36,-36.33233915114649,-29.48037954371156,-26.169784199694657,-39.66814257666666,-48.784483717499995,0
CC(C)(C)C=C,-14.29,-11.95,-92.11401188841585,-90.82205017309619,-88.79533670089552,-95.01951888333333,-103.03999999999999,0
C[CH]CC,16.491,18.26,-25.618024704935895,-25.58037954371155,-22.26978419969465,-20.54862235372881,-22.857484653421047,-35.11519439
C=CCC=C,25.41,27.8,-28.720587010748304,-29.216093665691176,-27.73814065939086,-28.79410256410257,-29.464444444444446,-28.936
C=CC1=CC=CC=C1,35.32,38.12,27.9621849525,-18.798078002708333,6.174638932432429,13.375199999999998,30.897799999999997,0
C=CC#C,70.79,71.48,39.580136123910265,35.61951117153167,38.064266406933335,39.14325336969697,0,0
CC(C)C(C)C,-42.49,-40.152,-138.4690809436905,-126.85049115516044,-127.8416675106404,-127.79421971181819,-126.78488336599999,0
C1=CC=[C]C=C1,81.24,84.41,62.7940175810909,48.91720627592357,86.73039202230771,87.3104972209091,80.76963613749999,120.27780000000001
C1CC=CC=C1,25.41,28.73,-33.92265893421052,-33.10122971160451,-36.72353608497143,-32.306875,-34.518235294117645,-33.785999999999994
CC(C)C=C,-6.55,-4.64,-73.45810466923076,-69.74620290257945,-69.04248269877418,-68.67708671391892,-70.68144168299999,0
C1=CC#CC=C1,105.95,112.23,109.52916031787234,74.1397330275,0,0,0,0
CC(=C)C1=CC=CC=C1,28.27,30.76,12.408674760625006,-35.08280485313725,3.062845454545459,12.584466666666671,0,0
CC(C)(C)C(C)(C)C,-53.99,-51.77,-177.96252177500003,-168.2102027369468,-166.73366052826088,-182.23749999999998,0,0
CC1=CC=CC=C1,11.9978,14.27,-48.18595934675001,-54.25028334559194,-48.73570002027778,-49.456797316666666,-50.235,0
